epoch=165/300 lr=0.025 train_loss=0.7872 val_loss=0.6083 top1_err=16.960 top5_err=3.250 seconds=154.0 peak_reserved_gib=5.305
epoch=166/300 lr=0.025 train_loss=0.8222 val_loss=0.6017 top1_err=17.170 top5_err=3.340 seconds=154.1 peak_reserved_gib=5.305
epoch=167/300 lr=0.025 train_loss=0.8529 val_loss=0.6059 top1_err=17.030 top5_err=3.410 seconds=154.1 peak_reserved_gib=5.305
epoch=168/300 lr=0.025 train_loss=0.7662 val_loss=0.6173 top1_err=17.350 top5_err=3.240 seconds=154.0 peak_reserved_gib=5.305
epoch=169/300 lr=0.025 train_loss=0.8051 val_loss=0.6175 top1_err=17.520 top5_err=3.340 seconds=154.1 peak_reserved_gib=5.305
epoch=170/300 lr=0.025 train_loss=0.7299 val_loss=0.6298 top1_err=17.260 top5_err=3.270 seconds=155.3 peak_reserved_gib=5.305
epoch=171/300 lr=0.025 train_loss=0.7750 val_loss=0.6530 top1_err=18.220 top5_err=3.670 seconds=162.2 peak_reserved_gib=5.305
epoch=172/300 lr=0.025 train_loss=0.7345 val_loss=0.6362 top1_err=17.910 top5_err=3.510 seconds=162.0 peak_reserved_gib=5.305
epoch=173/300 lr=0.025 train_loss=0.7842 val_loss=0.6396 top1_err=17.950 top5_err=3.540 seconds=159.4 peak_reserved_gib=5.305
epoch=174/300 lr=0.025 train_loss=0.7943 val_loss=0.6580 top1_err=18.240 top5_err=3.730 seconds=158.5 peak_reserved_gib=5.305
epoch=175/300 lr=0.025 train_loss=0.7541 val_loss=0.6660 top1_err=18.740 top5_err=3.820 seconds=157.3 peak_reserved_gib=5.305
epoch=176/300 lr=0.025 train_loss=0.7903 val_loss=0.6484 top1_err=17.860 top5_err=3.420 seconds=156.8 peak_reserved_gib=5.305
epoch=177/300 lr=0.025 train_loss=0.7709 val_loss=0.6595 top1_err=18.360 top5_err=3.480 seconds=154.0 peak_reserved_gib=5.305
epoch=178/300 lr=0.025 train_loss=0.7538 val_loss=0.6685 top1_err=18.700 top5_err=3.530 seconds=153.9 peak_reserved_gib=5.305
epoch=179/300 lr=0.025 train_loss=0.8013 val_loss=0.6924 top1_err=19.050 top5_err=3.790 seconds=153.9 peak_reserved_gib=5.305
epoch=180/300 lr=0.025 train_loss=0.7633 val_loss=0.6572 top1_err=17.940 top5_err=3.450 seconds=153.9 peak_reserved_gib=5.305
epoch=181/300 lr=0.025 train_loss=0.7415 val_loss=0.6641 top1_err=18.280 top5_err=3.850 seconds=153.9 peak_reserved_gib=5.305
epoch=182/300 lr=0.025 train_loss=0.7922 val_loss=0.6636 top1_err=18.060 top5_err=3.570 seconds=153.9 peak_reserved_gib=5.305
epoch=183/300 lr=0.025 train_loss=0.7890 val_loss=0.6802 top1_err=18.870 top5_err=3.630 seconds=154.0 peak_reserved_gib=5.305
